title,description,price,category,campus,condition,ownerStudentId
九成新C++程序设计教程,第三版，仅封面有折痕，内页无笔记,15,书籍教材,主校区,九成新,1
全新小米无线鼠标,静音版，全新未拆封，买重复了,45,电子产品,南校区,全新,1
二手小冰箱（50L）,制冷功能完好，毕业带不走,120,生活用品,北校区,八成新,1
八成新李宁篮球,室内外通用，正常使用痕迹,40,运动健身,南校区,八成新,1
考研英语红宝书,,20,书籍教材,主校区,九成新,1
二手JBL蓝牙音箱,音质很好，充电口接触稍有不良,80,电子产品,主校区,轻微瑕疵,1
宿舍用多功能电煮锅,可蒸可煮，功率600W,30,生活用品,北校区,九成新,1
安踏休闲运动鞋（42码）,穿过几次，鞋底轻微磨损,90,服饰鞋包,南校区,八成新,1
全新尤尼克斯羽毛球拍,入门款，未穿线,70,运动健身,主校区,全新,1
线性代数辅导讲义（李永乐）,2024版，做过前两章，铅笔可擦,10,书籍教材,北校区,八成新,1
闲置罗技K380蓝牙键盘,蓝色，功能完好，附赠保护套,150,电子产品,主校区,九成新,1
寝室床上小桌板,可折叠，有一个杯槽,5,生活用品,南校区,轻微瑕疵,1
Nike运动双肩包,,110,服饰鞋包,主校区,九成新,1
二手哑铃一对（10kg）,表面有锈迹，不影响使用,50,运动健身,北校区,轻微瑕疵,1
四六级真题汇编,近五年真题，全新,8,书籍教材,南校区,全新,1
